key;nl;fr;en;de;es;pl;pt;tr;el
title;Enrosed — productfoto’s;Enrosed — photos produits;Enrosed — product photos;Enrosed — Produktfotos;Enrosed — fotos de productos;Enrosed — zdjęcia produktów;Enrosed — fotografias de produtos;Enrosed — ürün fotoğrafları;Enrosed — φωτογραφίες προϊόντων
exportedAt;Geëxporteerd op;Exporté le;Exported on;Exportiert am;Exportado el;Data eksportu;Exportado em;Dışa aktarma tarihi;Εξαγωγή στις
selection;Selectie;Sélection;Selection;Auswahl;Selección;Wybór;Seleção;Seçim;Επιλογή
productCount;Producten;Produits;Products;Produkte;Productos;Produkty;Produtos;Ürünler;Προϊόντα
photoCount;Foto’s;Photos;Photos;Fotos;Fotos;Zdjęcia;Fotografias;Fotoğraflar;Φωτογραφίες
scope.ACTIVE;Actieve producten;Produits actifs;Active products;Aktive Produkte;Productos activos;Aktywne produkty;Produtos ativos;Aktif ürünler;Ενεργά προϊόντα
scope.WEBSITE;Producten op de website;Produits sur le site web;Products on the website;Produkte auf der Website;Productos en la web;Produkty na stronie internetowej;Produtos no site;Web sitesindeki ürünler;Προϊόντα στον ιστότοπο
scope.ALL;Alle producten;Tous les produits;All products;Alle Produkte;Todos los productos;Wszystkie produkty;Todos os produtos;Tüm ürünler;Όλα τα προϊόντα
photos.ALL;Alle foto’s;Toutes les photos;All photos;Alle Fotos;Todas las fotos;Wszystkie zdjęcia;Todas as fotografias;Tüm fotoğraflar;Όλες οι φωτογραφίες
photos.WEBSITE;Alleen websitefoto’s;Uniquement les photos du site web;Website photos only;Nur Website-Fotos;Solo fotos de la web;Tylko zdjęcia ze strony internetowej;Apenas fotografias do site;Yalnızca web sitesi fotoğrafları;Μόνο φωτογραφίες του ιστότοπου
aboutHeading;Over deze export;À propos de cet export;About this export;Über diesen Export;Acerca de esta exportación;O tym eksporcie;Sobre esta exportação;Bu dışa aktarma hakkında;Σχετικά με αυτή την εξαγωγή
about.folders;Elke map bevat de foto’s van één product (één SKU). De mapnaam bestaat uit SKU, naam, kleur en eventueel maat.;Chaque dossier contient les photos d’un seul produit (un seul SKU). Le nom du dossier se compose du SKU, du nom, de la couleur et, le cas échéant, de la taille.;Each folder holds the photos of one product (one SKU). The folder name is made up of the SKU, name, colour and, where applicable, size.;Jeder Ordner enthält die Fotos eines Produkts (einer SKU). Der Ordnername besteht aus SKU, Name, Farbe und gegebenenfalls Größe.;Cada carpeta contiene las fotos de un solo producto (un SKU). El nombre de la carpeta se compone del SKU, el nombre, el color y, en su caso, el tamaño.;Każdy folder zawiera zdjęcia jednego produktu (jednego SKU). Nazwa folderu składa się z SKU, nazwy, koloru i ewentualnie rozmiaru.;Cada pasta contém as fotografias de um único produto (um SKU). O nome da pasta é composto pelo SKU, nome, cor e, se aplicável, tamanho.;Her klasör tek bir ürünün (tek bir SKU) fotoğraflarını içerir. Klasör adı SKU, ad, renk ve varsa boyuttan oluşur.;Κάθε φάκελος περιέχει τις φωτογραφίες ενός προϊόντος (ενός SKU). Το όνομα του φακέλου αποτελείται από το SKU, το όνομα, το χρώμα και, όπου ισχύει, το μέγεθος.
about.lead;Het bestand dat begint met {lead} is de hoofdfoto van het product. Daarna volgen de websitefoto’s en de overige foto’s.;Le fichier qui commence par {lead} est la photo principale du produit. Viennent ensuite les photos du site web, puis les autres photos.;The file starting with {lead} is the product’s main photo. It is followed by the website photos and then the remaining photos.;Die Datei, die mit {lead} beginnt, ist das Hauptfoto des Produkts. Danach folgen die Website-Fotos und die übrigen Fotos.;El archivo que empieza por {lead} es la foto principal del producto. Le siguen las fotos de la web y después el resto de fotos.;Plik zaczynający się od {lead} to główne zdjęcie produktu. Po nim następują zdjęcia ze strony internetowej, a następnie pozostałe zdjęcia.;O ficheiro que começa por {lead} é a fotografia principal do produto. Seguem-se as fotografias do site e depois as restantes.;{lead} ile başlayan dosya ürünün ana fotoğrafıdır. Ardından web sitesi fotoğrafları ve diğer fotoğraflar gelir.;Το αρχείο που ξεκινά με {lead} είναι η κύρια φωτογραφία του προϊόντος. Ακολουθούν οι φωτογραφίες του ιστότοπου και στη συνέχεια οι υπόλοιπες.
about.quality;Alle bestanden zijn de originele uploads in de hoogst beschikbare kwaliteit: niet verkleind en niet opnieuw gecomprimeerd.;Tous les fichiers sont les originaux téléversés, dans la meilleure qualité disponible : ni réduits, ni recompressés.;All files are the original uploads in the highest available quality: not resized and not recompressed.;Alle Dateien sind die Original-Uploads in der höchsten verfügbaren Qualität: weder verkleinert noch neu komprimiert.;Todos los archivos son los originales subidos, en la máxima calidad disponible: sin reducir ni volver a comprimir.;Wszystkie pliki to oryginalnie przesłane zdjęcia w najwyższej dostępnej jakości: bez zmniejszania i ponownej kompresji.;Todos os ficheiros são os originais carregados, na melhor qualidade disponível: sem redução nem nova compressão.;Tüm dosyalar, mevcut en yüksek kalitede orijinal yüklemelerdir: küçültülmemiş ve yeniden sıkıştırılmamıştır.;Όλα τα αρχεία είναι τα πρωτότυπα που ανέβηκαν, στην υψηλότερη διαθέσιμη ποιότητα: χωρίς σμίκρυνση και χωρίς νέα συμπίεση.
