key;nl;fr;en;de;es;pl;pt;tr
quote;Offerte;Offre;Quotation;Angebot;Presupuesto;Oferta;Orçamento;Teklif
date;Datum;Date;Date;Datum;Fecha;Data;Data;Tarih
validUntil;Geldig tot;Valable jusqu'au;Valid until;Gültig bis;Válido hasta;Ważna do;Válido até;Geçerlilik tarihi
incoterm;Incoterm;Incoterm;Incoterm;Incoterm;Incoterm;Incoterm;Incoterm;Teslim şekli
customer;Klant;Client;Customer;Kunde;Cliente;Klient;Cliente;Müşteri
noCustomer;Geen klant gekoppeld;Aucun client lié;No customer linked;Kein Kunde verknüpft;Ningún cliente vinculado;Brak powiązanego klienta;Nenhum cliente associado;Bağlı müşteri yok
vat;BTW;TVA;VAT;MwSt.;IVA;VAT;IVA;KDV
vatNumber;BTW-nummer;N° de TVA;VAT number;USt-IdNr.;NIF-IVA;NIP;NIF;Vergi numarası
buyerVatNumber;BTW-nummer afnemer;N° de TVA de l'acheteur;Buyer VAT number;USt-IdNr. des Erwerbers;NIF-IVA del comprador;NIP nabywcy;NIF do adquirente;Alıcının vergi numarası
delivery;Levering;Livraison;Delivery;Lieferung;Entrega;Dostawa;Entrega;Teslimat
destination;Bestemming;Destination;Destination;Bestimmungsland;Destino;Miejsce przeznaczenia;Destino;Varış ülkesi
pallets;Pallets;Palettes;Pallets;Paletten;Palés;Palety;Paletes;Palet
cartons;Dozen;Cartons;Cartons;Kartons;Cajas;Kartony;Caixas;Koli
packingSlip;Pakbon;Bon de livraison;Delivery note;Lieferschein;Albarán;Dokument dostawy;Guia de remessa;Sevk irsaliyesi
deliveryAddress;Leveradres;Adresse de livraison;Delivery address;Lieferadresse;Dirección de entrega;Adres dostawy;Morada de entrega;Teslimat adresi
pieces;Stuks;Pièces;Pieces;Stück;Unidades;Sztuki;Unidades;Adet
looseCartons;Losse dozen;Cartons en vrac;Loose cartons;Lose Kartons;Cajas sueltas;Luźne kartony;Caixas soltas;Paletsiz koliler
notOnPallet;Niet op een pallet;Hors palette;Not on a pallet;Nicht auf einer Palette;Sin palé;Poza paletą;Fora da palete;Palete yerleştirilmemiş
contents;Inhoud;Contenu;Contents;Inhalt;Contenido;Zawartość;Conteúdo;İçerik
loadCheck;Controleer de fysieke lading met de aantallen hierboven.;Vérifiez le chargement physique à l'aide des quantités ci-dessus.;Check the physical load against the quantities above.;Prüfen Sie die physische Ladung anhand der oben angegebenen Mengen.;Compruebe la carga física con las cantidades indicadas arriba.;Sprawdź ładunek fizyczny z ilościami podanymi powyżej.;Confirme a carga física com as quantidades acima.;Fiziksel yükü yukarıdaki miktarlarla karşılaştırın.
loadedByDate;Geladen door / datum;Chargé par / date;Loaded by / date;Verladen von / Datum;Cargado por / fecha;Załadował(a) / data;Carregado por / data;Yükleyen / tarih
receivedByDate;Ontvangen door / datum;Reçu par / date;Received by / date;Empfangen von / Datum;Recibido por / fecha;Odebrał(a) / data;Recebido por / data;Teslim alan / tarih
height;hoog;de haut;high;hoch;de altura;wysokości;de altura;yüksekliğinde
volume;Volume;Volume;Volume;Volumen;Volumen;Objętość;Volume;Hacim
payment;Betaling;Paiement;Payment;Zahlung;Pago;Płatność;Pagamento;Ödeme
sku;SKU;Réf.;SKU;Art.-Nr.;Ref.;Nr kat.;Ref.;Ürün kodu
description;Omschrijving;Désignation;Description;Bezeichnung;Descripción;Opis;Descrição;Açıklama
quantity;Aantal;Quantité;Quantity;Menge;Cantidad;Ilość;Quantidade;Adet
unitPrice;Stukprijs;Prix unitaire;Unit price;Stückpreis;Precio unitario;Cena jednostkowa;Preço unitário;Birim fiyat
discount;Korting;Remise;Discount;Rabatt;Descuento;Rabat;Desconto;İndirim
total;Totaal;Total;Total;Gesamt;Total;Razem;Total;Toplam
subtotal;Subtotaal;Sous-total;Subtotal;Zwischensumme;Subtotal;Suma częściowa;Subtotal;Ara toplam
orderDiscount;Orderkorting;Remise sur commande;Order discount;Auftragsrabatt;Descuento por pedido;Rabat na zamówienie;Desconto na encomenda;Sipariş indirimi
extraDiscount;Extra korting;Remise supplémentaire;Additional discount;Zusatzrabatt;Descuento adicional;Rabat dodatkowy;Desconto adicional;Ek indirim
goodsValue;Goederenwaarde;Valeur des marchandises;Goods value;Warenwert;Valor de la mercancía;Wartość towaru;Valor da mercadoria;Mal bedeli
freight;Vracht;Transport;Freight;Fracht;Transporte;Transport;Transporte;Navlun
freightPerPallet;Vracht per pallet;Transport par palette;Freight per pallet;Fracht pro Palette;Transporte por palé;Transport za paletę;Transporte por palete;Palet başına navlun
freightPerCbm;Vracht per m³;Transport par m³;Freight per m³;Fracht pro m³;Transporte por m³;Transport za m³;Transporte por m³;m³ başına navlun
freightFixedAmount;Vast vrachtbedrag;Montant de transport fixe;Fixed freight amount;Fester Frachtbetrag;Importe fijo de transporte;Stała kwota transportu;Valor fixo de transporte;Sabit navlun tutarı
handling;Administratie;Frais de dossier;Handling;Bearbeitung;Gastos de gestión;Obsługa;Encargos administrativos;İşlem ücreti
totalInclVat;Totaal incl. BTW;Total TVA comprise;Total incl. VAT;Gesamt inkl. MwSt.;Total con IVA;Razem z VAT;Total com IVA;KDV dahil toplam
note;Opmerking;Remarque;Note;Anmerkung;Observación;Uwaga;Observação;Not
from;vanaf;à partir du;from;ab;a partir del;od;a partir de;itibaren
week;week;semaine;week;KW;semana;tydzień;semana;hafta
toBeAgreed;in overleg;à convenir;to be agreed;nach Absprache;a convenir;do uzgodnienia;a combinar;görüşülecek
freightToBeDetermined;wordt nog bepaald;à déterminer;to be determined;wird noch ermittelt;por determinar;do ustalenia;a determinar;belirlenecek
portalTitle;Online bekijken, tekenen of wijzigen;Consulter, signer ou modifier en ligne;View, sign or amend online;Online ansehen, unterzeichnen oder ändern;Consultar, firmar o modificar en línea;Podgląd, podpis lub zmiana online;Consultar, assinar ou alterar online;Çevrimiçi görüntüleyin, imzalayın veya değiştirin
