"key";"label";"required";"nl";"fr";"en";"de";"es";"pl";"pt";"tr"
"meta.home.title";"Homepage · SEO-titel";"true";"Enrosed — Gepreserveerde rozen voor groothandel";"Enrosed — Roses préservées en gros";"Enrosed — Wholesale preserved roses";"Enrosed — Konservierte Rosen im Großhandel";"Enrosed — Rosas preservadas al por mayor";"Enrosed — Róże stabilizowane w hurcie";"Enrosed — Rosas preservadas por grosso";"Enrosed — Toptan korunmuş güller"
"meta.home.description";"Homepage · SEO-beschrijving";"true";"Ontdek Enrosed gepreserveerde rozen voor groothandel: bestverkochte glazen schalen, toonbankdisplays, stolpen en flowerboxes voor bloemisten en retailinkopers.";"Découvrez les roses préservées Enrosed pour les professionnels : bols en verre best-sellers, présentoirs de comptoir, cloches en verre et flowerboxes pour fleuristes et acheteurs retail.";"Explore Enrosed preserved roses for wholesale: bestselling glass bowls, counter displays, glass domes and flowerboxes for florists and retail buyers.";"Entdecken Sie konservierte Enrosed-Rosen für den Großhandel: meistverkaufte Glasschalen, Thekendisplays, Glasglocken und Flowerboxen für Floristen und Einkäufer.";"Descubra las rosas preservadas Enrosed para mayoristas: cuencos de vidrio superventas, expositores de mostrador, cúpulas de cristal y flowerboxes para floristas y compradores retail.";"Poznaj stabilizowane róże Enrosed dla hurtowni: bestsellerowe szklane miseczki, ekspozytory na ladę, szklane klosze i flowerboxy dla kwiaciarni oraz kupców detalicznych.";"Descubra as rosas preservadas Enrosed para grossistas: taças de vidro mais vendidas, expositores de balcão, cúpulas de vidro e flowerboxes para floristas e compradores de retalho.";"Toptan satış için Enrosed korunmuş güllerini keşfedin: en çok satan cam kaseler, tezgâh stantları, cam fanuslar ve flowerboxlar; çiçekçiler ve perakende alıcıları için."
"meta.home.imageAlt";"Homepage · Sociale deelfoto · alternatieve tekst";"true";"Presentatie van een gepreserveerde roos van Enrosed";"Présentation d’une rose préservée Enrosed";"Enrosed preserved rose presentation";"Präsentation einer konservierten Rose von Enrosed";"Presentación de una rosa preservada Enrosed";"Prezentacja róży stabilizowanej Enrosed";"Apresentação de uma rosa preservada Enrosed";"Enrosed korunmuş gül sunumu"
"meta.products.title";"Productoverzicht · SEO-titel";"true";"Rozencollectie voor groothandel | Enrosed";"Collection de roses en gros | Enrosed";"Wholesale Rose Collection | Enrosed";"Rosenkollektion für den Großhandel | Enrosed";"Colección de rosas al por mayor | Enrosed";"Hurtowa kolekcja róż | Enrosed";"Coleção de rosas por grosso | Enrosed";"Toptan gül koleksiyonu | Enrosed"
"meta.products.description";"Productoverzicht · SEO-beschrijving";"true";"Ontdek alle Enrosed rozenformaten voor groothandel, met onze bestverkochte glazen schalen voorop, naast gepreserveerde toonbankdisplays, stolpen en flowerboxes. Vraag rechtstreeks handelsprijzen en doosdetails aan.";"Découvrez tous les formats de roses Enrosed pour les professionnels, avec nos bols en verre best-sellers en tête, puis les présentoirs de roses préservées, les cloches et les flowerboxes. Demandez directement les tarifs professionnels et les détails des cartons.";"Explore all Enrosed wholesale rose formats, led by our bestselling glass bowls, preserved counter displays, domes and flowerboxes. Request trade pricing and carton details directly.";"Entdecken Sie alle Enrosed-Rosenformate für den Großhandel – angeführt von unseren meistverkauften Glasschalen, ergänzt durch Thekendisplays mit konservierten Rosen, Glasglocken und Flowerboxen. Fragen Sie Handelspreise und Kartondetails direkt an.";"Descubra todos los formatos de rosas Enrosed para mayoristas, encabezados por nuestros cuencos de vidrio superventas, junto con expositores de rosas preservadas, cúpulas y flowerboxes. Solicite directamente precios profesionales y datos de las cajas.";"Poznaj wszystkie hurtowe formaty róż Enrosed — z naszymi najlepiej sprzedającymi się szklanymi miseczkami na czele, a także ekspozytory ze stabilizowanymi różami, klosze i flowerboxy. Zapytaj bezpośrednio o ceny hurtowe i dane kartonów.";"Descubra todos os formatos de rosas Enrosed para grossistas, liderados pelas nossas taças de vidro mais vendidas, seguidas de expositores com rosas preservadas, cúpulas e flowerboxes. Peça diretamente preços profissionais e dados das caixas.";"En çok satan cam kaselerimizin öncülük ettiği tüm Enrosed toptan gül formatlarını; korunmuş gül stantlarını, fanusları ve flowerboxları keşfedin. Ticari fiyatları ve karton bilgilerini doğrudan isteyin."
"meta.quote.title";"Offerte · SEO-titel";"true";"Groothandelsofferte aanvragen | Enrosed";"Demander un devis grossiste | Enrosed";"Request a wholesale quote | Enrosed";"Großhandelsangebot anfordern | Enrosed";"Solicitar un presupuesto mayorista | Enrosed";"Poproś o ofertę hurtową | Enrosed";"Pedir um orçamento para grossistas | Enrosed";"Toptan satış teklifi isteyin | Enrosed"
"meta.quote.description";"Offerte · SEO-beschrijving";"true";"Stel een Enrosed-groothandelsofferte samen met actuele productprijzen, aantallen per volle doos en geschatte leveringskosten.";"Composez un devis grossiste Enrosed avec les prix actuels des produits, des quantités par carton complet et une estimation des frais de livraison.";"Build an Enrosed wholesale quote with current product prices, full-carton quantities and delivery estimates.";"Stellen Sie ein Enrosed-Großhandelsangebot mit aktuellen Produktpreisen, Mengen in vollen Kartons und geschätzten Lieferkosten zusammen.";"Prepare un presupuesto mayorista de Enrosed con precios actuales, cantidades por cajas completas y costes de envío estimados.";"Przygotuj ofertę hurtową Enrosed z aktualnymi cenami produktów, ilościami w pełnych kartonach i szacowanymi kosztami dostawy.";"Prepare um orçamento Enrosed para grossistas com preços atuais, quantidades por caixas completas e custos de entrega estimados.";"Güncel ürün fiyatları, tam karton miktarları ve tahmini teslimat maliyetleriyle Enrosed toptan satış teklifinizi oluşturun."
"meta.notFound.title";"404-pagina · SEO-titel";"true";"Pagina niet gevonden | Enrosed";"Page introuvable | Enrosed";"Page not found | Enrosed";"Seite nicht gefunden | Enrosed";"Página no encontrada | Enrosed";"Nie znaleziono strony | Enrosed";"Página não encontrada | Enrosed";"Sayfa bulunamadı | Enrosed"
"meta.notFound.description";"404-pagina · SEO-beschrijving";"true";"De opgevraagde Enrosed-pagina kon niet worden gevonden. Ontdek de rozengroothandelcollectie of ga terug naar de homepage.";"La page Enrosed demandée est introuvable. Explorez la collection de roses en gros ou revenez à la page d'accueil.";"The requested Enrosed page could not be found. Explore the wholesale rose collection or return to the homepage.";"Die angeforderte Enrosed-Seite konnte nicht gefunden werden. Entdecken Sie die Rosenkollektion im Großhandel oder kehren Sie zur Homepage zurück.";"No se pudo encontrar la página Enrosed solicitada. Explore la colección de rosas al por mayor o regrese a la página de inicio.";"Nie można znaleźć żądanej strony Enrosed. Zapoznaj się z hurtową kolekcją róż lub wróć na stronę główną.";"A página Enrosed solicitada não foi encontrada. Explore a coleção de rosas por grosso ou regresse à página inicial.";"İstenen Enrosed sayfası bulunamadı. Toptan gül koleksiyonunu keşfedin veya ana sayfaya dönün."
"a11y.skipToContent";"Toegankelijkheid · Naar inhoud springen";"true";"Ga naar inhoud";"Passer au contenu";"Skip to content";"Zum Inhalt springen";"Saltar al contenido";"Przejdź do treści";"Saltar para o conteúdo";"İçeriğe atla"
